Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
New Delhi,PM2.5 - Principal,1/1/2017 1:00,2017,1,1,1,245.7,295,Very Unhealthy,224,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,1/1/2017 2:00,2017,1,1,2,232.3,282,Very Unhealthy,219,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,1/1/2017 3:00,2017,1,1,3,216.7,267,Very Unhealthy,201,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,1/1/2017 4:00,2017,1,1,4,203.3,253,Very Unhealthy,190,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,1/1/2017 5:00,2017,1,1,5,201.6,252,Very Unhealthy,200,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,1/1/2017 6:00,2017,1,1,6,188.8,239,Very Unhealthy,176,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,1/1/2017 7:00,2017,1,1,7,188.5,239,Very Unhealthy,178,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,1/1/2017 8:00,2017,1,1,8,186.4,237,Very Unhealthy,183,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,1/1/2017 9:00,2017,1,1,9,185.8,236,Very Unhealthy,185,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,1/1/2017 10:00,2017,1,1,10,192.9,243,Very Unhealthy,205,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,1/1/2017 11:00,2017,1,1,11,199.3,249,Very Unhealthy,210,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,1/1/2017 12:00,2017,1,1,12,192.2,242,Very Unhealthy,179,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,1/1/2017 13:00,2017,1,1,13,162,212,Very Unhealthy,124,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,1/1/2017 14:00,2017,1,1,14,144.1,197,Unhealthy,120,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,1/1/2017 15:00,2017,1,1,15,110.8,180,Unhealthy,83,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,1/1/2017 16:00,2017,1,1,16,89.3,168,Unhealthy,68,UG/M3,1 Hr,Valid
New Delhi,PM2.5 - Principal,1/1/2017 17:00,2017,1,1,17,72.1,160,Unhealthy,55,UG/M3,1 Hr,Valid
